Commencing_Years,Broad_FOE,Alpha,Beta
2005-2015,Natural and Physical Sciences,1263.54460440049,5740.93589169655
2005-2015,Information Technology,917.394681710293,1946.85983089564
2005-2015,Engineering and Related Technologies,448.494810416723,1792.34953668718
2005-2015,Architecture and Building,89.328891293843,339.406133895857
2005-2015,"Agriculture, Environmental & Related Studies",753.238274110602,2005.96816473739
2005-2015,Health,49.4948168369921,226.186475991462
2005-2015,Education,39.0981345419127,104.491435423712
2005-2015,Management and Commerce,176.092949523053,562.185986618116
2005-2015,Society and Culture,279.328601766415,856.321390631043
2005-2015,Creative Arts,114.601316873787,397.011704884192
2005-2015,"Food, Hospitality and Personal Services(e)",2.6184367684834,9.48714237383466
2016-2018,Natural and Physical Sciences,575.991776850727,2605.69728695369
2016-2018,Information Technology,547.97414604072,1214.75632588954
2016-2018,Engineering and Related Technologies,235.193028813726,961.921132097673
2016-2018,Architecture and Building,74.1981119966528,260.882929686259
2016-2018,"Agriculture, Environmental & Related Studies",271.832102202907,720.618070133373
2016-2018,Health,1189.50851688067,4197.75831681801
2016-2018,Education,264.665148051456,560.865569513909
2016-2018,Management and Commerce,1698.58440725806,5334.89139919353
2016-2018,Society and Culture,579.689951960175,1628.3723333122
2016-2018,Creative Arts,309.425758862166,935.915368836383
2019-2020,Natural and Physical Sciences,152.035038062284,786.452851211071
2019-2020,Information Technology,599.952459313972,1731.77105142824
2019-2020,Engineering and Related Technologies,66.613652114937,351.157762842335
2019-2020,Architecture and Building,107.141057419448,376.020419105683
2019-2020,"Agriculture, Environmental & Related Studies",67.0637868702132,183.314360862522
2019-2020,Health,346.228972357144,1327.1831705
2019-2020,Education,199.04546364234,526.867970501861
2019-2020,Management and Commerce,140.339183854782,500.040391115702
2019-2020,Society and Culture,144.525704209625,454.544572306955
2019-2020,Creative Arts,151.506064833164,477.280259438112
