field_of_education,student_stage,student_count
ARCHITECTURE AND BUILDING,Commencing,18781
ARCHITECTURE AND BUILDING,Continuing,91945
CREATIVE ARTS,Commencing,23360
CREATIVE ARTS,Continuing,89427
EDUCATION,Commencing,23896
EDUCATION,Continuing,109793
ENGINEERING AND RELATED TECHNOLOGIES,Commencing,50095
ENGINEERING AND RELATED TECHNOLOGIES,Continuing,162892
HEALTH,Commencing,47446
HEALTH,Continuing,173172
INFORMATION TECHNOLOGY,Commencing,36886
INFORMATION TECHNOLOGY,Continuing,96251
MANAGEMENT AND COMMERCE,Commencing,65454
MANAGEMENT AND COMMERCE,Continuing,292241
MIXED FIELD PROGRAMMES,Commencing,45
MIXED FIELD PROGRAMMES,Continuing,45
NATURAL AND PHYSICAL SCIENCES,Commencing,15822
NATURAL AND PHYSICAL SCIENCES,Continuing,64391
NONE,Commencing,19733
NONE,Continuing,13617
SOCIETY AND CULTURE,Commencing,35488
SOCIETY AND CULTURE,Continuing,153260
