teaching_period,student_stage,student_count
10 Week EAP Teaching Period 1,Commencing,512
10 Week EAP Teaching Period 1,Continuing,54
10 Week EAP Teaching Period 2,Commencing,212
10 Week EAP Teaching Period 2,Continuing,6
10 Week EAP Teaching Period 3,Commencing,784
10 Week EAP Teaching Period 3,Continuing,6
10 Week Teaching Period - 1,Commencing,178
10 Week Teaching Period - 1,Continuing,272
10 Week Teaching Period - 2,Commencing,403
10 Week Teaching Period - 2,Continuing,157
10 Week Teaching Period - 3,Commencing,83
10 Week Teaching Period - 3,Continuing,296
10 Week Teaching Period - 4,Commencing,178
10 Week Teaching Period - 4,Continuing,544
13 Week Teaching Period - 1,Commencing,1095
13 Week Teaching Period - 1,Continuing,594
13 Week Teaching Period - 2,Commencing,638
13 Week Teaching Period - 2,Continuing,1001
13 Week Teaching Period - 3,Commencing,362
13 Week Teaching Period - 3,Continuing,895
15 Week EAP Teaching Period 1,Commencing,193
15 Week EAP Teaching Period 1,Continuing,6
15 Week EAP Teaching Period 2,Commencing,169
15 Week EAP Teaching Period 3,Commencing,356
5 Week Teaching Period - 1,Continuing,6
5 Week Teaching Period - 2,Continuing,139
5 Week Teaching Period - 4,Commencing,126
5 Week Teaching Period - 4,Continuing,171
5 Week Teaching Period - 6,Commencing,36
5 Week Teaching Period - 6,Continuing,322
5 Week Teaching Period - 8,Continuing,532
6 Week Teaching Period - 1,Commencing,159
6 Week Teaching Period - 1,Continuing,571
6 Week Teaching Period - 2,Commencing,2178
6 Week Teaching Period - 2,Continuing,2708
6 Week Teaching Period - 3,Commencing,1786
6 Week Teaching Period - 3,Continuing,1813
6 Week Teaching Period - 4,Commencing,239
6 Week Teaching Period - 4,Continuing,1369
6 Week Teaching Period - 5,Commencing,140
6 Week Teaching Period - 5,Continuing,585
6 Week Teaching Period - 6,Commencing,148
6 Week Teaching Period - 6,Continuing,68
College 1,Commencing,9114
College 1,Continuing,5389
College 2,Commencing,6375
College 2,Continuing,9285
College 5 Week TP - 1,Commencing,43
College 5 Week TP - 1,Continuing,114
College 5 Week TP - 2,Commencing,255
College 5 Week TP - 2,Continuing,48
College 5 Week TP - 3,Commencing,56
College 5 Week TP - 3,Continuing,120
College 5 Week TP - 4,Commencing,103
College 5 Week TP - 4,Continuing,143
College 5 Week TP - 5,Commencing,60
College 5 Week TP - 5,Continuing,131
College 5 Week TP - 6,Commencing,104
College 5 Week TP - 6,Continuing,89
College 5 Week TP - 7,Commencing,150
College 5 Week TP - 7,Continuing,109
College 5 Week TP - 8,Commencing,61
College 5 Week TP - 8,Continuing,147
College 5 Week TP - 9,Commencing,37
College 5 Week TP - 9,Continuing,161
College Summer,Commencing,2029
College Summer,Continuing,4628
Exchange - 1,Commencing,11
Exchange - 1,Continuing,1365
Exchange - 2,Commencing,6
Exchange - 2,Continuing,2194
Flexible Period - 01A,Commencing,286
Flexible Period - 01A,Continuing,121
Flexible Period - 01B,Commencing,6
Flexible Period - 02A,Commencing,907
Flexible Period - 02A,Continuing,1236
Flexible Period - 02B,Commencing,155
Flexible Period - 02B,Continuing,29
Flexible Period - 03A,Commencing,1522
Flexible Period - 03A,Continuing,2886
Flexible Period - 03B,Commencing,6
Flexible Period - 03B,Continuing,85
Flexible Period - 04A,Commencing,1689
Flexible Period - 04A,Continuing,2130
Flexible Period - 04B,Commencing,74
Flexible Period - 04B,Continuing,87
Flexible Period - 05A,Commencing,1514
Flexible Period - 05A,Continuing,1993
Flexible Period - 05B,Commencing,29
Flexible Period - 05B,Continuing,118
Flexible Period - 06A,Commencing,998
Flexible Period - 06A,Continuing,2366
Flexible Period - 06B,Commencing,97
Flexible Period - 06B,Continuing,125
Flexible Period - 07A,Commencing,337
Flexible Period - 07A,Continuing,1621
Flexible Period - 08A,Commencing,1926
Flexible Period - 08A,Continuing,3853
Flexible Period - 08B,Commencing,97
Flexible Period - 08B,Continuing,139
Flexible Period - 09A,Commencing,673
Flexible Period - 09A,Continuing,6425
Flexible Period - 09B,Continuing,30
Flexible Period - 10A,Commencing,1599
Flexible Period - 10A,Continuing,6011
Flexible Period - 10B,Commencing,45
Flexible Period - 10B,Continuing,104
Flexible Period - 11A,Commencing,909
Flexible Period - 11A,Continuing,2418
Flexible Period - 11B,Commencing,13
Flexible Period - 11B,Continuing,83
Flexible Period - 12A,Commencing,277
Flexible Period - 12A,Continuing,604
Flexible Period - 12B,Commencing,34
Flexible Period - 12B,Continuing,64
Flexible Period - A,Commencing,150
Flexible Period - A,Continuing,839
Flexible Period - AB,Commencing,6
Flexible Period - AB,Continuing,207
Flexible Period - B,Commencing,250
Flexible Period - B,Continuing,1075
Research Period 1,Commencing,4139
Research Period 1,Continuing,25587
Research Period 2,Commencing,2177
Research Period 2,Continuing,27716
Semester 1,Commencing,185806
Semester 1,Continuing,509607
Semester 1 - 5 Week A,Commencing,2873
Semester 1 - 5 Week A,Continuing,966
Semester 1 - 5 Week B,Commencing,2280
Semester 1 - 5 Week B,Continuing,799
Semester 1 - 6 Week A,Commencing,4844
Semester 1 - 6 Week A,Continuing,1528
Semester 1 - 6 Week B,Commencing,5447
Semester 1 - 6 Week B,Continuing,1823
Semester 2,Commencing,68657
Semester 2,Continuing,555007
Semester 2 - 5 Week C,Commencing,2728
Semester 2 - 5 Week C,Continuing,1331
Semester 2 - 5 Week D,Commencing,2263
