field_of_education,credit_point_band,student_count
ARCHITECTURE AND BUILDING,0–24,6
ARCHITECTURE AND BUILDING,144+,18371
ARCHITECTURE AND BUILDING,48–96,13
ARCHITECTURE AND BUILDING,96–144,6
CREATIVE ARTS,0–24,6
CREATIVE ARTS,144+,19289
CREATIVE ARTS,24–48,6
CREATIVE ARTS,48–96,6
EDUCATION,0–24,6
EDUCATION,144+,24395
ENGINEERING AND RELATED TECHNOLOGIES,0–24,116
ENGINEERING AND RELATED TECHNOLOGIES,144+,23485
ENGINEERING AND RELATED TECHNOLOGIES,24–48,6
ENGINEERING AND RELATED TECHNOLOGIES,48–96,6
HEALTH,0–24,110
HEALTH,144+,40569
HEALTH,24–48,43
INFORMATION TECHNOLOGY,0–24,11
INFORMATION TECHNOLOGY,144+,23479
INFORMATION TECHNOLOGY,48–96,6
MANAGEMENT AND COMMERCE,0–24,35
MANAGEMENT AND COMMERCE,144+,64785
MANAGEMENT AND COMMERCE,24–48,7
MANAGEMENT AND COMMERCE,48–96,18
MIXED FIELD PROGRAMMES,144+,24
NATURAL AND PHYSICAL SCIENCES,0–24,6
NATURAL AND PHYSICAL SCIENCES,144+,12239
NATURAL AND PHYSICAL SCIENCES,24–48,6
NATURAL AND PHYSICAL SCIENCES,48–96,6
NONE,144+,10201
SOCIETY AND CULTURE,0–24,23
SOCIETY AND CULTURE,144+,34660
SOCIETY AND CULTURE,24–48,28
SOCIETY AND CULTURE,48–96,6
