field_of_education,credit_point_band,student_count
ARCHITECTURE AND BUILDING,0–24,2761
ARCHITECTURE AND BUILDING,144+,10974
ARCHITECTURE AND BUILDING,24–48,2555
ARCHITECTURE AND BUILDING,48–96,1726
ARCHITECTURE AND BUILDING,96–144,375
CREATIVE ARTS,0–24,2522
CREATIVE ARTS,144+,13177
CREATIVE ARTS,24–48,1983
CREATIVE ARTS,48–96,1376
CREATIVE ARTS,96–144,237
EDUCATION,0–24,3541
EDUCATION,144+,17711
EDUCATION,24–48,1865
EDUCATION,48–96,1101
EDUCATION,96–144,178
ENGINEERING AND RELATED TECHNOLOGIES,0–24,3424
ENGINEERING AND RELATED TECHNOLOGIES,144+,11495
ENGINEERING AND RELATED TECHNOLOGIES,24–48,4044
ENGINEERING AND RELATED TECHNOLOGIES,48–96,3625
ENGINEERING AND RELATED TECHNOLOGIES,96–144,1019
HEALTH,0–24,5399
HEALTH,144+,25908
HEALTH,24–48,4991
HEALTH,48–96,3811
HEALTH,96–144,613
INFORMATION TECHNOLOGY,0–24,4124
INFORMATION TECHNOLOGY,144+,13206
INFORMATION TECHNOLOGY,24–48,3470
INFORMATION TECHNOLOGY,48–96,2266
INFORMATION TECHNOLOGY,96–144,425
MANAGEMENT AND COMMERCE,0–24,7627
MANAGEMENT AND COMMERCE,144+,43750
MANAGEMENT AND COMMERCE,24–48,6995
MANAGEMENT AND COMMERCE,48–96,5402
MANAGEMENT AND COMMERCE,96–144,1071
MIXED FIELD PROGRAMMES,0–24,6
MIXED FIELD PROGRAMMES,144+,13
MIXED FIELD PROGRAMMES,24–48,6
MIXED FIELD PROGRAMMES,48–96,6
NATURAL AND PHYSICAL SCIENCES,0–24,1665
NATURAL AND PHYSICAL SCIENCES,144+,7109
NATURAL AND PHYSICAL SCIENCES,24–48,1708
NATURAL AND PHYSICAL SCIENCES,48–96,1463
NATURAL AND PHYSICAL SCIENCES,96–144,302
NONE,0–24,608
NONE,144+,9048
NONE,24–48,365
NONE,48–96,167
NONE,96–144,13
SOCIETY AND CULTURE,0–24,4580
SOCIETY AND CULTURE,144+,22837
SOCIETY AND CULTURE,24–48,4026
SOCIETY AND CULTURE,48–96,2702
SOCIETY AND CULTURE,96–144,571
