field_of_education,credit_point_band,student_count
ARCHITECTURE AND BUILDING,0–24,395
ARCHITECTURE AND BUILDING,144+,9955
ARCHITECTURE AND BUILDING,24–48,1156
ARCHITECTURE AND BUILDING,48–96,3237
ARCHITECTURE AND BUILDING,96–144,3648
CREATIVE ARTS,0–24,358
CREATIVE ARTS,144+,10476
CREATIVE ARTS,24–48,1103
CREATIVE ARTS,48–96,3278
CREATIVE ARTS,96–144,4080
EDUCATION,0–24,1534
EDUCATION,144+,9886
EDUCATION,24–48,3288
EDUCATION,48–96,5444
EDUCATION,96–144,4244
ENGINEERING AND RELATED TECHNOLOGIES,0–24,485
ENGINEERING AND RELATED TECHNOLOGIES,144+,12948
ENGINEERING AND RELATED TECHNOLOGIES,24–48,1412
ENGINEERING AND RELATED TECHNOLOGIES,48–96,4180
ENGINEERING AND RELATED TECHNOLOGIES,96–144,4582
HEALTH,0–24,1350
HEALTH,144+,19044
HEALTH,24–48,3806
HEALTH,48–96,8382
HEALTH,96–144,8140
INFORMATION TECHNOLOGY,0–24,1416
INFORMATION TECHNOLOGY,144+,9346
INFORMATION TECHNOLOGY,24–48,2817
INFORMATION TECHNOLOGY,48–96,5605
INFORMATION TECHNOLOGY,96–144,4307
MANAGEMENT AND COMMERCE,0–24,10389
MANAGEMENT AND COMMERCE,144+,26201
MANAGEMENT AND COMMERCE,24–48,5778
MANAGEMENT AND COMMERCE,48–96,12414
MANAGEMENT AND COMMERCE,96–144,10063
MIXED FIELD PROGRAMMES,24–48,10
MIXED FIELD PROGRAMMES,48–96,14
NATURAL AND PHYSICAL SCIENCES,0–24,299
NATURAL AND PHYSICAL SCIENCES,144+,6277
NATURAL AND PHYSICAL SCIENCES,24–48,772
NATURAL AND PHYSICAL SCIENCES,48–96,2170
NATURAL AND PHYSICAL SCIENCES,96–144,2729
NONE,0–24,3329
NONE,144+,673
NONE,24–48,2702
NONE,48–96,2969
NONE,96–144,528
SOCIETY AND CULTURE,0–24,1407
SOCIETY AND CULTURE,144+,17220
SOCIETY AND CULTURE,24–48,3029
SOCIETY AND CULTURE,48–96,6738
SOCIETY AND CULTURE,96–144,6322
