field_of_education,credit_point_band,student_count
ARCHITECTURE AND BUILDING,0–24,1923
ARCHITECTURE AND BUILDING,144+,13999
ARCHITECTURE AND BUILDING,24–48,1531
ARCHITECTURE AND BUILDING,48–96,820
ARCHITECTURE AND BUILDING,96–144,118
CREATIVE ARTS,0–24,1629
CREATIVE ARTS,144+,15425
CREATIVE ARTS,24–48,1318
CREATIVE ARTS,48–96,776
CREATIVE ARTS,96–144,147
EDUCATION,0–24,2477
EDUCATION,144+,19840
EDUCATION,24–48,1302
EDUCATION,48–96,659
EDUCATION,96–144,118
ENGINEERING AND RELATED TECHNOLOGIES,0–24,2428
ENGINEERING AND RELATED TECHNOLOGIES,144+,17384
ENGINEERING AND RELATED TECHNOLOGIES,24–48,2255
ENGINEERING AND RELATED TECHNOLOGIES,48–96,1301
ENGINEERING AND RELATED TECHNOLOGIES,96–144,239
HEALTH,0–24,2848
HEALTH,144+,34245
HEALTH,24–48,2341
HEALTH,48–96,1168
HEALTH,96–144,120
INFORMATION TECHNOLOGY,0–24,2206
INFORMATION TECHNOLOGY,144+,18393
INFORMATION TECHNOLOGY,24–48,1752
INFORMATION TECHNOLOGY,48–96,975
INFORMATION TECHNOLOGY,96–144,165
MANAGEMENT AND COMMERCE,0–24,4688
MANAGEMENT AND COMMERCE,144+,53659
MANAGEMENT AND COMMERCE,24–48,3799
MANAGEMENT AND COMMERCE,48–96,2239
MANAGEMENT AND COMMERCE,96–144,460
MIXED FIELD PROGRAMMES,0–24,6
MIXED FIELD PROGRAMMES,144+,22
MIXED FIELD PROGRAMMES,24–48,6
NATURAL AND PHYSICAL SCIENCES,0–24,1136
NATURAL AND PHYSICAL SCIENCES,144+,9364
NATURAL AND PHYSICAL SCIENCES,24–48,987
NATURAL AND PHYSICAL SCIENCES,48–96,643
NATURAL AND PHYSICAL SCIENCES,96–144,117
NONE,0–24,172
NONE,144+,9955
NONE,24–48,40
NONE,48–96,34
SOCIETY AND CULTURE,0–24,3287
SOCIETY AND CULTURE,144+,25495
SOCIETY AND CULTURE,24–48,3108
SOCIETY AND CULTURE,48–96,2278
SOCIETY AND CULTURE,96–144,548
