feature_name,value,weight,data_type,source_pack,source_file,notes
gender,Female,70706,string,industry_partner_pack_1,demographic_gender_by_course.csv,
gender,Male,59383,string,industry_partner_pack_1,demographic_gender_by_course.csv,
gender,Other,689,string,industry_partner_pack_1,demographic_gender_by_course.csv,
gender,Non-Binary,34,string,industry_partner_pack_1,demographic_gender_by_course.csv,
gender,Prefer not to answer,16,string,industry_partner_pack_1,demographic_gender_by_course.csv,
age_band,14 or less,10,string,industry_partner_pack_1,demographic_ageband_by_course.csv,
age_band,15 to 19,44449,string,industry_partner_pack_1,demographic_ageband_by_course.csv,
age_band,20 to 24,66773,string,industry_partner_pack_1,demographic_ageband_by_course.csv,
age_band,25 to 29,24111,string,industry_partner_pack_1,demographic_ageband_by_course.csv,
age_band,30 to 34,11986,string,industry_partner_pack_1,demographic_ageband_by_course.csv,
age_band,35 to 39,8110,string,industry_partner_pack_1,demographic_ageband_by_course.csv,
age_band,40 to 44,5888,string,industry_partner_pack_1,demographic_ageband_by_course.csv,
age_band,45 to 49,4347,string,industry_partner_pack_1,demographic_ageband_by_course.csv,
age_band,50 to 54,2765,string,industry_partner_pack_1,demographic_ageband_by_course.csv,
age_band,55 to 59,1316,string,industry_partner_pack_1,demographic_ageband_by_course.csv,
age_band,60 or more,614,string,industry_partner_pack_1,demographic_ageband_by_course.csv,
socioeconomic_status,High SES,52515,string,industry_partner_pack_1,SES_headcount.csv,
socioeconomic_status,Low SES,11473,string,industry_partner_pack_1,SES_headcount.csv,
socioeconomic_status,Medium SES,38308,string,industry_partner_pack_1,SES_headcount.csv,
socioeconomic_status,Unknown / Not stated,29165,string,industry_partner_pack_1,SES_headcount.csv,
regional_remote_status,Inner Regional,8108,string,industry_partner_pack_1,regional_category_headcount.csv,
regional_remote_status,Major Cities,84488,string,industry_partner_pack_1,regional_category_headcount.csv,
regional_remote_status,Outer Regional,4586,string,industry_partner_pack_1,regional_category_headcount.csv,
regional_remote_status,Remote,677,string,industry_partner_pack_1,regional_category_headcount.csv,
regional_remote_status,Unknown / Not stated,29165,string,industry_partner_pack_1,regional_category_headcount.csv,
regional_remote_status,Very Remote,543,string,industry_partner_pack_1,regional_category_headcount.csv,
course_level,HDR,4700,string,industry_partner_pack_1,demographic_gender_by_course.csv,course group headcount total
course_level,Other,11957,string,industry_partner_pack_1,demographic_gender_by_course.csv,course group headcount total
course_level,Postgraduate (Coursework),33950,string,industry_partner_pack_1,demographic_gender_by_course.csv,course group headcount total
course_level,Undergraduate,80221,string,industry_partner_pack_1,demographic_gender_by_course.csv,course group headcount total
course_group,HDR,4700,string,industry_partner_pack_1,demographic_gender_by_course.csv,course group headcount total
course_group,Other,11957,string,industry_partner_pack_1,demographic_gender_by_course.csv,course group headcount total
course_group,Postgraduate (Coursework),33950,string,industry_partner_pack_1,demographic_gender_by_course.csv,course group headcount total
course_group,Undergraduate,80221,string,industry_partner_pack_1,demographic_gender_by_course.csv,course group headcount total
broad_field_of_education,ARCHITECTURE AND BUILDING,3507,string,industry_partner_pack_1,broad_primary_fields_of_education_2025.csv,
broad_field_of_education,CREATIVE ARTS,3597,string,industry_partner_pack_1,broad_primary_fields_of_education_2025.csv,
broad_field_of_education,EDUCATION,4919,string,industry_partner_pack_1,broad_primary_fields_of_education_2025.csv,
broad_field_of_education,ENGINEERING AND RELATED TECHNOLOGIES,5830,string,industry_partner_pack_1,broad_primary_fields_of_education_2025.csv,
broad_field_of_education,HEALTH,8049,string,industry_partner_pack_1,broad_primary_fields_of_education_2025.csv,
broad_field_of_education,INFORMATION TECHNOLOGY,5738,string,industry_partner_pack_1,broad_primary_fields_of_education_2025.csv,
broad_field_of_education,MANAGEMENT AND COMMERCE,12696,string,industry_partner_pack_1,broad_primary_fields_of_education_2025.csv,
broad_field_of_education,NATURAL AND PHYSICAL SCIENCES,2416,string,industry_partner_pack_1,broad_primary_fields_of_education_2025.csv,
broad_field_of_education,NONE,2065,string,industry_partner_pack_1,broad_primary_fields_of_education_2025.csv,
broad_field_of_education,SOCIETY AND CULTURE,6772,string,industry_partner_pack_1,broad_primary_fields_of_education_2025.csv,
teaching_period,10 Week EAP Teaching Period 1,564,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,10 Week EAP Teaching Period 2,216,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,10 Week EAP Teaching Period 3,775,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,10 Week Teaching Period - 1,326,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,10 Week Teaching Period - 2,453,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,10 Week Teaching Period - 3,292,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,10 Week Teaching Period - 4,627,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,13 Week Teaching Period - 1,519,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,13 Week Teaching Period - 2,478,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,13 Week Teaching Period - 3,389,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,15 Week EAP Teaching Period 1,194,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,15 Week EAP Teaching Period 2,169,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,15 Week EAP Teaching Period 3,355,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,5 Week Teaching Period - 2,139,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,5 Week Teaching Period - 4,216,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,5 Week Teaching Period - 6,270,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,5 Week Teaching Period - 8,364,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,6 Week Teaching Period - 1,708,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
