field_of_education,teaching_period,eftsl_band,enrolment_count
ARCHITECTURE AND BUILDING,College 1,0–0.125,284
ARCHITECTURE AND BUILDING,College 2,0–0.125,366
ARCHITECTURE AND BUILDING,College Summer,0–0.125,124
ARCHITECTURE AND BUILDING,Exchange - 1,0–0.125,205
ARCHITECTURE AND BUILDING,Exchange - 2,0.125–0.25,6
ARCHITECTURE AND BUILDING,Exchange - 2,0–0.125,288
ARCHITECTURE AND BUILDING,Research Period 1,0–0.125,6
ARCHITECTURE AND BUILDING,Research Period 2,0.125–0.25,6
ARCHITECTURE AND BUILDING,Research Period 2,0–0.125,6
ARCHITECTURE AND BUILDING,Semester 1,0.125–0.25,798
ARCHITECTURE AND BUILDING,Semester 1,0–0.125,54368
ARCHITECTURE AND BUILDING,Semester 1 - 6 Week A,0–0.125,1036
ARCHITECTURE AND BUILDING,Semester 1 - 6 Week B,0–0.125,1159
ARCHITECTURE AND BUILDING,Semester 2,0.125–0.25,1579
ARCHITECTURE AND BUILDING,Semester 2,0.25–0.5,128
ARCHITECTURE AND BUILDING,Semester 2,0–0.125,48855
ARCHITECTURE AND BUILDING,Semester 2 - 6 Week C,0–0.125,480
ARCHITECTURE AND BUILDING,Semester 2 - 6 Week D,0–0.125,475
ARCHITECTURE AND BUILDING,Summer,0–0.125,550
ARCHITECTURE AND BUILDING,Summer 1,0–0.125,6
ARCHITECTURE AND BUILDING,Summer 2,0–0.125,18
CREATIVE ARTS,13 Week Teaching Period - 1,0–0.125,242
CREATIVE ARTS,13 Week Teaching Period - 2,0–0.125,219
CREATIVE ARTS,13 Week Teaching Period - 3,0–0.125,230
CREATIVE ARTS,6 Week Teaching Period - 2,0–0.125,23
CREATIVE ARTS,6 Week Teaching Period - 3,0–0.125,22
CREATIVE ARTS,6 Week Teaching Period - 4,0–0.125,8
CREATIVE ARTS,6 Week Teaching Period - 5,0–0.125,12
CREATIVE ARTS,College 1,0–0.125,1201
CREATIVE ARTS,College 2,0–0.125,1342
CREATIVE ARTS,College Summer,0–0.125,802
CREATIVE ARTS,Exchange - 1,0–0.125,144
CREATIVE ARTS,Exchange - 2,0.125–0.25,6
CREATIVE ARTS,Exchange - 2,0–0.125,250
CREATIVE ARTS,Flexible Period - 03A,0–0.125,552
CREATIVE ARTS,Flexible Period - 04A,0–0.125,410
CREATIVE ARTS,Flexible Period - 05A,0.125–0.25,135
CREATIVE ARTS,Flexible Period - 05A,0–0.125,925
CREATIVE ARTS,Flexible Period - 06A,0–0.125,96
CREATIVE ARTS,Flexible Period - 08A,0–0.125,905
CREATIVE ARTS,Flexible Period - 09A,0–0.125,212
CREATIVE ARTS,Flexible Period - 10A,0.125–0.25,140
CREATIVE ARTS,Flexible Period - 10A,0–0.125,649
CREATIVE ARTS,Flexible Period - 11A,0–0.125,89
CREATIVE ARTS,Research Period 1,0.125–0.25,37
CREATIVE ARTS,Research Period 1,0.25–0.5,14
CREATIVE ARTS,Research Period 1,0–0.125,121
CREATIVE ARTS,Research Period 1,1.0+,6
CREATIVE ARTS,Research Period 2,0.125–0.25,34
CREATIVE ARTS,Research Period 2,0.25–0.5,10
CREATIVE ARTS,Research Period 2,0–0.125,113
CREATIVE ARTS,Research Period 2,1.0+,6
CREATIVE ARTS,Semester 1,0.125–0.25,1816
CREATIVE ARTS,Semester 1,0–0.125,50608
CREATIVE ARTS,Semester 1 - 5 Week A,0–0.125,16
CREATIVE ARTS,Semester 1 - 5 Week B,0–0.125,14
CREATIVE ARTS,Semester 1 - 6 Week A,0–0.125,364
CREATIVE ARTS,Semester 1 - 6 Week B,0–0.125,556
CREATIVE ARTS,Semester 2,0.125–0.25,2476
CREATIVE ARTS,Semester 2,0–0.125,44670
