feature_name,value,data_type,source_pack,source_file,notes
narrow_primary_field_of_education,"Business and Management",string,industry_partner_pack_1,narrow_primary_fields_of_education_2025.csv,
narrow_primary_field_of_education,"Other Engineering and Related Technologies",string,industry_partner_pack_1,narrow_primary_fields_of_education_2025.csv,
narrow_primary_field_of_education,"Teacher Education",string,industry_partner_pack_1,narrow_primary_fields_of_education_2025.csv,
narrow_primary_field_of_education,"Nursing",string,industry_partner_pack_1,narrow_primary_fields_of_education_2025.csv,
narrow_primary_field_of_education,"Other Information Technology",string,industry_partner_pack_1,narrow_primary_fields_of_education_2025.csv,
narrow_primary_field_of_education,"Behavioural Science",string,industry_partner_pack_1,narrow_primary_fields_of_education_2025.csv,
narrow_primary_field_of_education,"INFORMATION TECHNOLOGY, n.f.d.",string,industry_partner_pack_1,narrow_primary_fields_of_education_2025.csv,
narrow_primary_field_of_education,"Architecture and Urban Environment",string,industry_partner_pack_1,narrow_primary_fields_of_education_2025.csv,
narrow_primary_field_of_education,"Law",string,industry_partner_pack_1,narrow_primary_fields_of_education_2025.csv,
narrow_primary_field_of_education,"MANAGEMENT AND COMMERCE, n.f.d.",string,industry_partner_pack_1,narrow_primary_fields_of_education_2025.csv,
narrow_primary_field_of_education,"Other Natural and Physical Sciences",string,industry_partner_pack_1,narrow_primary_fields_of_education_2025.csv,
narrow_primary_field_of_education,"Not applicable",string,industry_partner_pack_1,narrow_primary_fields_of_education_2025.csv,
narrow_primary_field_of_education,"Other Management and Commerce",string,industry_partner_pack_1,narrow_primary_fields_of_education_2025.csv,
narrow_primary_field_of_education,"Other Health",string,industry_partner_pack_1,narrow_primary_fields_of_education_2025.csv,
narrow_primary_field_of_education,"Building",string,industry_partner_pack_1,narrow_primary_fields_of_education_2025.csv,
narrow_primary_field_of_education,"Communication and Media Studies",string,industry_partner_pack_1,narrow_primary_fields_of_education_2025.csv,
narrow_primary_field_of_education,"Other Education",string,industry_partner_pack_1,narrow_primary_fields_of_education_2025.csv,
narrow_primary_field_of_education,"Visual Arts and Crafts",string,industry_partner_pack_1,narrow_primary_fields_of_education_2025.csv,
narrow_primary_field_of_education,"Human Welfare Studies and Services",string,industry_partner_pack_1,narrow_primary_fields_of_education_2025.csv,
narrow_primary_field_of_education,"Justice and Law Enforcement",string,industry_partner_pack_1,narrow_primary_fields_of_education_2025.csv,
narrow_primary_field_of_education,"Public Health",string,industry_partner_pack_1,narrow_primary_fields_of_education_2025.csv,
narrow_primary_field_of_education,"Graphic and Design Studies",string,industry_partner_pack_1,narrow_primary_fields_of_education_2025.csv,
narrow_primary_field_of_education,"Radiography",string,industry_partner_pack_1,narrow_primary_fields_of_education_2025.csv,
